event_url,rank,last_name,first_name,nationality,total_time,swim_time,bike_time,run_time,athlete_url
http://triathlonranking2.perfectpace.com/event/1755,16,Wiedner,Dominik,AUT,02:22:33,00:26:51,01:05:55,00:46:25,http://triathlonranking2.perfectpace.com/athlete/13755
http://triathlonranking2.perfectpace.com/event/1755,17,Rous,Uros,SLO,02:23:05,00:24:53,01:07:02,00:48:19,http://triathlonranking2.perfectpace.com/athlete/257444
http://triathlonranking2.perfectpace.com/event/1755,18,Girkinger,Jan,AUT,02:23:22,00:23:14,01:07:54,00:49:00,http://triathlonranking2.perfectpace.com/athlete/231974
http://triathlonranking2.perfectpace.com/event/1755,19,Nairz,Florian,AUT,02:25:07,00:26:36,01:09:08,00:45:54,http://triathlonranking2.perfectpace.com/athlete/191131
http://triathlonranking2.perfectpace.com/event/1755,20,Föge,Jannis,AUT,02:27:23,00:26:39,01:10:52,00:46:02,http://triathlonranking2.perfectpace.com/athlete/210588
http://triathlonranking2.perfectpace.com/event/1755,21,Jaworsky,Rainer,AUT,02:27:44,00:29:44,01:05:44,00:48:42,http://triathlonranking2.perfectpace.com/athlete/159995
http://triathlonranking2.perfectpace.com/event/1755,22,Lang,Stefan,GER,02:28:09,00:31:51,01:07:28,00:45:26,http://triathlonranking2.perfectpace.com/athlete/7063
http://triathlonranking2.perfectpace.com/event/1755,23,Karner,Manfred,AUT,02:28:56,00:29:24,01:05:33,00:49:06,http://triathlonranking2.perfectpace.com/athlete/129552
http://triathlonranking2.perfectpace.com/event/1755,24,Nagl,Norbert,AUT,02:29:06,00:22:06,01:11:59,00:51:43,http://triathlonranking2.perfectpace.com/athlete/65
http://triathlonranking2.perfectpace.com/event/1755,25,Matús,Jan,SVK,02:29:31,00:27:34,01:12:08,00:45:25,http://triathlonranking2.perfectpace.com/athlete/263348
http://triathlonranking2.perfectpace.com/event/1755,26,Gschwandtner,Daniel,AUT,02:29:37,00:31:51,01:09:10,00:45:18,http://triathlonranking2.perfectpace.com/athlete/251808
http://triathlonranking2.perfectpace.com/event/1755,27,Schatzl,Herbert,AUT,02:29:46,00:28:03,01:11:34,00:46:28,http://triathlonranking2.perfectpace.com/athlete/233793
http://triathlonranking2.perfectpace.com/event/1755,28,Polonyi,Balazs,HUN,02:29:52,00:24:50,01:10:21,00:50:43,http://triathlonranking2.perfectpace.com/athlete/263349
http://triathlonranking2.perfectpace.com/event/1755,29,Müller,Johannes,GER,02:30:13,00:30:23,01:10:58,00:44:49,http://triathlonranking2.perfectpace.com/athlete/258256
http://triathlonranking2.perfectpace.com/event/1755,30,Rausch,Josef,AUT,02:30:28,00:29:54,01:11:43,00:46:03,http://triathlonranking2.perfectpace.com/athlete/13488
http://triathlonranking2.perfectpace.com/event/1755,31,Schneider,Lukas,AUT,02:31:03,00:27:46,01:08:31,00:51:05,http://triathlonranking2.perfectpace.com/athlete/258364
http://triathlonranking2.perfectpace.com/event/1755,32,Dreier,Dominik,AUT,02:31:11,00:29:07,01:06:04,00:51:43,http://triathlonranking2.perfectpace.com/athlete/257520
http://triathlonranking2.perfectpace.com/event/1755,33,Srb,Thomas,AUT,02:31:20,00:33:34,01:07:13,00:45:56,http://triathlonranking2.perfectpace.com/athlete/14080
http://triathlonranking2.perfectpace.com/event/1755,34,Bucher,Georg,AUT,02:31:35,00:29:46,01:08:50,00:49:09,http://triathlonranking2.perfectpace.com/athlete/252257
http://triathlonranking2.perfectpace.com/event/1755,35,Kamrla,Tomas,SVK,02:32:07,00:27:03,01:12:27,00:48:54,http://triathlonranking2.perfectpace.com/athlete/187161
http://triathlonranking2.perfectpace.com/event/1755,36,Handler,Michael,AUT,02:32:14,00:32:06,01:10:09,00:44:39,http://triathlonranking2.perfectpace.com/athlete/263350
http://triathlonranking2.perfectpace.com/event/1755,37,Rath,Marco,AUT,02:32:35,00:27:43,01:08:39,00:52:19,http://triathlonranking2.perfectpace.com/athlete/197026
http://triathlonranking2.perfectpace.com/event/1755,38,Auer,Arno,AUT,02:33:04,00:29:45,01:08:07,00:51:22,http://triathlonranking2.perfectpace.com/athlete/2608
http://triathlonranking2.perfectpace.com/event/1755,39,Bitzinger,Patrick,AUT,02:33:27,00:31:29,01:06:01,00:50:18,http://triathlonranking2.perfectpace.com/athlete/187178
http://triathlonranking2.perfectpace.com/event/1755,40,Müllauer,Andreas,AUT,02:34:09,00:31:21,01:09:15,00:48:44,http://triathlonranking2.perfectpace.com/athlete/263351
http://triathlonranking2.perfectpace.com/event/1755,41,Mikulasek,Viktor,AUT,02:34:18,00:27:49,01:16:25,00:45:31,http://triathlonranking2.perfectpace.com/athlete/263352
http://triathlonranking2.perfectpace.com/event/1755,42,Lisy,Lorenz,AUT,02:35:22,00:34:37,01:08:23,00:47:01,http://triathlonranking2.perfectpace.com/athlete/263353
http://triathlonranking2.perfectpace.com/event/1755,43,Kukucz-Legien,Michal,POL,02:35:25,00:26:44,01:08:41,00:55:26,http://triathlonranking2.perfectpace.com/athlete/210866
http://triathlonranking2.perfectpace.com/event/1755,44,Cerny,Vladimir,SVK,02:35:42,00:28:44,01:08:01,00:53:20,http://triathlonranking2.perfectpace.com/athlete/12638
http://triathlonranking2.perfectpace.com/event/1755,45,Petlach,Marcel,AUT,02:35:45,00:30:29,01:10:23,00:50:56,http://triathlonranking2.perfectpace.com/athlete/263354
http://triathlonranking2.perfectpace.com/event/1755,46,Kleebinder,Stephan,AUT,02:36:31,00:32:08,01:10:07,00:50:02,http://triathlonranking2.perfectpace.com/athlete/235273
http://triathlonranking2.perfectpace.com/event/1755,47,Kinzlbauer,Markus,AUT,02:36:40,00:31:34,01:08:30,00:51:08,http://triathlonranking2.perfectpace.com/athlete/43244
http://triathlonranking2.perfectpace.com/event/1755,48,Guenther,Felix,AUT,02:37:20,00:25:14,01:16:52,00:50:12,http://triathlonranking2.perfectpace.com/athlete/263355
http://triathlonranking2.perfectpace.com/event/1755,49,Koiser,Michael,AUT,02:37:28,00:31:17,01:12:29,00:49:24,http://triathlonranking2.perfectpace.com/athlete/168018
http://triathlonranking2.perfectpace.com/event/1755,50,Buchberger,Thomas,AUT,02:38:03,00:35:25,01:05:34,00:52:31,http://triathlonranking2.perfectpace.com/athlete/248663
http://triathlonranking2.perfectpace.com/event/1755,51,Haubenwallner,Sandro,AUT,02:38:06,00:31:23,01:08:31,00:53:00,http://triathlonranking2.perfectpace.com/athlete/263356
http://triathlonranking2.perfectpace.com/event/1755,52,Sukalia,Markus,AUT,02:38:22,00:32:34,01:11:16,00:50:42,http://triathlonranking2.perfectpace.com/athlete/198844
http://triathlonranking2.perfectpace.com/event/1755,53,Riegler-Tempelhof,Lucas,AUT,02:38:36,00:25:52,01:11:29,00:55:51,http://triathlonranking2.perfectpace.com/athlete/263357
http://triathlonranking2.perfectpace.com/event/1755,54,Koeck,Markus,AUT,02:38:42,00:34:17,01:07:18,00:52:43,http://triathlonranking2.perfectpace.com/athlete/262705
http://triathlonranking2.perfectpace.com/event/1755,55,Szabó,András,HUN,02:38:53,00:31:17,01:13:13,00:51:35,http://triathlonranking2.perfectpace.com/athlete/177305
http://triathlonranking2.perfectpace.com/event/1755,56,Katschnig,Reinhold,AUT,02:38:58,00:33:58,01:10:58,00:49:30,http://triathlonranking2.perfectpace.com/athlete/186617
http://triathlonranking2.perfectpace.com/event/1755,57,Gangl,Patrick,LIE,02:39:27,00:39:26,01:07:16,00:49:14,http://triathlonranking2.perfectpace.com/athlete/243724
